enum_schema,enum_name,enum_value
auth,aal_level,aal1
auth,aal_level,aal2
auth,aal_level,aal3
auth,code_challenge_method,plain
auth,code_challenge_method,s256
auth,factor_status,unverified
auth,factor_status,verified
auth,factor_type,phone
auth,factor_type,totp
auth,factor_type,webauthn
auth,one_time_token_type,confirmation_token
auth,one_time_token_type,email_change_token_current
auth,one_time_token_type,email_change_token_new
auth,one_time_token_type,phone_change_token
auth,one_time_token_type,reauthentication_token
auth,one_time_token_type,recovery_token
realtime,action,DELETE
realtime,action,ERROR
realtime,action,INSERT
realtime,action,TRUNCATE
realtime,action,UPDATE
realtime,equality_op,eq
realtime,equality_op,gt
realtime,equality_op,gte
realtime,equality_op,in
realtime,equality_op,lt
realtime,equality_op,lte
realtime,equality_op,neq
