table_schema,table_name
audit,log
auth,audit_log_entries
auth,flow_state
auth,identities
auth,instances
auth,mfa_amr_claims
auth,mfa_challenges
auth,mfa_factors
auth,one_time_tokens
auth,refresh_tokens
auth,saml_providers
auth,saml_relay_states
auth,schema_migrations
auth,sessions
auth,sso_domains
auth,sso_providers
auth,users
public,active_sessions
public,admin_actions
public,admin_activity_feed
public,admin_analytics_cache
public,admin_audit_logs
public,admin_notification_channels
public,admin_notification_rules
public,admin_quick_actions
public,admin_saved_filters
public,admin_search_history
public,admin_users
public,ai_alert_notifications
public,ai_analysis_logs
public,ai_analytics
public,ai_content_access_log
public,ai_content_scans
public,ai_feedback
public,ai_incident_flags
public,ai_learning_data
public,ai_model_configurations
public,ai_model_performance
public,ai_models
public,ai_moderation_alerts
public,ai_moderation_models
public,ai_moderation_rules
public,ai_monitoring_sessions
public,ai_prompts
public,ai_provider_credentials
public,ai_providers
public,ai_reading_audit_log
public,ai_reading_interpretations
public,ai_reading_results
public,ai_sessions
public,ai_suggestion_logs
public,ai_training_data
public,ai_training_sessions
public,ai_translation_providers
public,ai_usage_analytics
public,app_config
public,app_settings
public,approval_requests
public,approval_workflows
public,audit_logs
public,audit_trails
public,auth_tokens
public,backup_logs
public,booking_window_settings
public,bookings
public,bulk_operations_log
public,business_analytics
public,call_escalations
public,call_notifications
public,call_quality_metrics
public,call_recording_permissions
public,call_recordings
public,call_session_features
public,call_sessions
public,call_signaling
public,card_interpretations
public,chat_archives
public,chat_audit_logs
public,chat_messages
public,chat_messages_backup
public,chat_monitoring
public,chat_notifications
public,chat_participants
public,chat_sessions
public,chat_sessions_backup
public,client_spread_selections
public,client_tarot_sessions
public,commission_settings
public,configuration_access_log
public,configuration_categories
public,configuration_change_log
public,content_approval_queue
public,content_moderation
public,content_moderation_actions
public,course_content
public,course_enrollments
public,daily_analytics
public,daily_zodiac
public,deck_types
public,device_registrations
public,documentation_entries
public,email_templates
public,emergency_alerts
public,emergency_call_ai_monitoring
public,emergency_call_logs
public,emergency_call_pricing
public,emergency_call_quality_metrics
public,emergency_call_recording_permissions
public,emergency_call_recordings
public,emergency_call_settings
public,emergency_call_transactions
public,emergency_calls
public,emergency_contacts
public,emergency_escalation_log
public,emergency_escalation_timeline
public,emergency_escalations
public,emergency_reader_selection_log
public,emergency_requests
public,emergency_responders
public,emergency_response_log
public,emergency_siren_control
public,emergency_webrtc_signaling
public,error_logs
public,escalation_logs
public,exchange_rates
public,feature_ai_assignments
public,feature_provider_assignments
public,feedback_moderation_log
public,feedback_prompts
public,file_uploads
public,impersonation_sessions
public,import_export_jobs
public,learning_paths
public,learning_progress
public,location_tracking
public,media_storage
public,message_reactions
public,messages
public,messages_backup
public,migration_history
public,migration_log
public,migration_status
public,migrations
public,monitor_actions
public,monitor_session_flags
public,moroccan_tarot_cards
public,notification_delivery_log
public,notification_executions
public,notification_settings
public,notification_templates
public,notifications
public,payment_gateway_configs
public,payment_gateways
public,payment_methods
public,payment_receipts
public,payment_regions
public,payment_sessions
public,payment_settings
public,payments
public,permissions
public,platform_commissions
public,profiles
public,promotional_codes
public,provider_audit_log
public,provider_configurations
public,provider_models
public,provider_services
public,provider_usage_analytics
public,providers
public,push_notifications
public,reader_analytics
public,reader_applications
public,reader_earnings
public,reader_emergency_settings
public,reader_feedback_stats
public,reader_performance_metrics
public,reader_schedule
public,reader_spread_notifications
public,reader_spreads
public,readers
public,reading_cards
public,reading_sessions
public,receipt_uploads
public,recording_access_logs
public,recording_permissions
public,recording_segments
public,recording_transcriptions
public,redemption_options
public,redemptions
public,referral_codes
public,referral_uses
public,referrals
public,refund_requests
public,revenue_analytics
public,revenue_sharing
public,reviews
public,reward_settings
public,rewards_config
public,rewards_points
public,rewards_transactions
public,role_permissions
public,roles
public,secret_categories
public,secret_providers
public,secret_subcategories
public,secrets_access_log
public,service_feedback
public,service_usage_analytics
public,services
public,sms_templates
public,special_rates
public,spread_approval_logs
public,spread_audit_log
public,spread_cards
public,spread_categories
public,spread_positions
public,spread_service_assignments
public,spreads
public,subscription_plans
public,super_admin_audit_logs
public,system_activity_log
public,system_approval_requests
public,system_audit_log
public,system_configs
public,system_configurations
public,system_health_checks
public,system_integrations
public,system_logs
public,system_secrets
public,system_secrets_audit
public,system_settings
public,tarot_cards
public,tarot_deck_card_images
public,tarot_deck_reader_assignments
public,tarot_decks
public,tarot_readings
public,tarot_spread_positions
public,tarot_spread_reader_assignments
public,tarot_spreads
public,tenants
public,transaction_audit
public,transactions
public,translation_provider_assignments
public,translation_settings
public,translation_usage_logs
public,user_activity_logs
public,user_content_progress
public,user_enrollments
public,user_feedback
public,user_onboarding_progress
public,user_permission_overrides
public,user_preferences
public,user_profiles
public,user_roles
public,user_sessions
public,user_spreads
public,user_subscriptions
public,users
public,voice_note_approvals
public,voice_notes
public,voice_notes_backup
public,wallet_balances
public,wallet_transactions
public,wallets
public,webrtc_call_events
public,webrtc_call_sessions
public,webrtc_device_capabilities
public,webrtc_quality_logs
public,webrtc_signaling
public,working_hours
public,working_hours_audit
public,working_hours_requests
public,zodiac_generation_logs
public,zodiac_system_config
realtime,messages
realtime,messages_2025_07_04
realtime,messages_2025_07_05
realtime,messages_2025_07_06
realtime,messages_2025_07_07
realtime,messages_2025_07_08
realtime,messages_2025_07_09
realtime,messages_2025_07_10
realtime,schema_migrations
realtime,subscription
storage,buckets
storage,migrations
storage,objects
storage,s3_multipart_uploads
storage,s3_multipart_uploads_parts
vault,secrets
